Event,Start Date,Start Time,End Date,End Time,Location,Category,Description,Facility
"Men's Basketball at Toledo","10/19/2024","2:00PM","10/19/2024","5:00 PM","Toledo, OH","Men's Basketball","Men's Basketball at Toledo Toledo, OH",""
"Men's Basketball at Nebraska","10/27/2024","2:00PM","10/27/2024","5:00 PM","Lincoln, NE","Men's Basketball","Men's Basketball at Nebraska Lincoln, NE",""
"Men's Basketball at Purdue ","10/30/2024","7:00PM","10/30/2024","10:00 PM","West Lafayette, IN","Men's Basketball","Men's Basketball at Purdue  West Lafayette, IN",""
"Men's Basketball vs Walsh ","11/8/2024","2:00PM","11/8/2024","5:00 PM","Allendale, MI","Men's Basketball","Men's Basketball vs Walsh  Allendale, MI","GVSU Fieldhouse Arena"
"Men's Basketball vs Ashland ","11/10/2024","1:00PM","11/10/2024","4:00 PM","Allendale, MI","Men's Basketball","Men's Basketball vs Ashland  Allendale, MI","GVSU Fieldhouse Arena"
"Men's Basketball at Lewis ","11/19/2024","8:30PM","11/19/2024","11:30 PM","Romeoville, IL","Men's Basketball","Men's Basketball at Lewis  Romeoville, IL",""
"Men's Basketball at Malone ","11/23/2024","3:00PM","11/23/2024","6:00 PM","Canton, OH","Men's Basketball","Men's Basketball at Malone  Canton, OH",""
"Men's Basketball vs Hillsdale ","11/27/2024","3:00PM","11/27/2024","6:00 PM","Allendale, MI","Men's Basketball","Men's Basketball vs Hillsdale  Allendale, MI","GVSU Fieldhouse Arena"
"Men's Basketball vs Aquinas ","11/30/2024","5:00PM","11/30/2024","8:00 PM","Allendale, MI","Men's Basketball","Men's Basketball vs Aquinas  Allendale, MI","GVSU Fieldhouse Arena"
"Men's Basketball at Saginaw Valley State ","12/5/2024","7:30PM","12/5/2024","10:30 PM","University Center, MI","Men's Basketball","Men's Basketball at Saginaw Valley State  University Center, MI",""
"Men's Basketball at Wayne State ","12/7/2024","3:00PM","12/7/2024","6:00 PM","Detroit, MI","Men's Basketball","Men's Basketball at Wayne State  Detroit, MI",""
"Men's Basketball at Indianapolis","12/16/2024","7:30PM","12/16/2024","10:30 PM","Indianapolis, IN","Men's Basketball","Men's Basketball at Indianapolis Indianapolis, IN",""
"Men's Basketball vs Illinois Springfield","12/20/2024","5:00PM","12/20/2024","8:00 PM","Allendale, MI","Men's Basketball","Men's Basketball vs Illinois Springfield Allendale, MI","GVSU Fieldhouse Arena"
"Men's Basketball vs Michigan Tech","1/2/2025","8:00PM","1/2/2025","11:00 PM","Allendale, MI","Men's Basketball","Men's Basketball vs Michigan Tech Allendale, MI","GVSU Fieldhouse Arena"
"Men's Basketball vs Northern Michigan ","1/4/2025","3:00PM","1/4/2025","6:00 PM","Allendale, MI","Men's Basketball","Men's Basketball vs Northern Michigan  Allendale, MI","GVSU Fieldhouse Arena"
"Men's Basketball at Ferris State ","1/9/2025","7:30PM","1/9/2025","10:30 PM","Big Rapids, MI","Men's Basketball","Men's Basketball at Ferris State  Big Rapids, MI",""
"Men's Basketball at Lake Superior State ","1/11/2025","7:00PM","1/11/2025","10:00 PM","Sault Ste. Marie, MI ","Men's Basketball","Men's Basketball at Lake Superior State  Sault Ste. Marie, MI ",""
"Men's Basketball at Davenport ","1/16/2025","7:30PM","1/16/2025","10:30 PM","Grand Rapids, MI","Men's Basketball","Men's Basketball at Davenport  Grand Rapids, MI",""
"Men's Basketball at Roosevelt ","1/20/2025","8:30PM","1/20/2025","11:30 PM","Chicago, IL","Men's Basketball","Men's Basketball at Roosevelt  Chicago, IL",""
"Men's Basketball vs Parkside","1/23/2025","8:00PM","1/23/2025","11:00 PM","Allendale, MI","Men's Basketball","Men's Basketball vs Parkside Allendale, MI","GVSU Fieldhouse Arena"
"Men's Basketball vs Purdue Northwest","1/25/2025","3:00PM","1/25/2025","6:00 PM","Allendale, MI","Men's Basketball","Men's Basketball vs Purdue Northwest Allendale, MI","GVSU Fieldhouse Arena"
"Men's Basketball at Northern Michigan ","1/30/2025","7:30PM","1/30/2025","10:30 PM","Marquette, MI","Men's Basketball","Men's Basketball at Northern Michigan  Marquette, MI",""
"Men's Basketball at Michigan Tech","2/1/2025","2:00PM","2/1/2025","5:00 PM","Houghton, MI","Men's Basketball","Men's Basketball at Michigan Tech Houghton, MI",""
"Men's Basketball vs Lake Superior State","2/6/2025","8:00PM","2/6/2025","11:00 PM","Allendale, MI","Men's Basketball","Men's Basketball vs Lake Superior State Allendale, MI","GVSU Fieldhouse Arena"
"Men's Basketball vs Ferris State ","2/8/2025","3:00PM","2/8/2025","6:00 PM","Allendale, MI","Men's Basketball","Men's Basketball vs Ferris State  Allendale, MI","GVSU Fieldhouse Arena"
"Men's Basketball at Purdue Northwest","2/13/2025","8:00PM","2/13/2025","11:00 PM","Hammond, Ind.","Men's Basketball","Men's Basketball at Purdue Northwest Hammond, Ind.",""
"Men's Basketball at Parkside","2/15/2025","4:00PM","2/15/2025","7:00 PM","Kenosha, WI","Men's Basketball","Men's Basketball at Parkside Kenosha, WI",""
"Men's Basketball vs Wayne State ","2/20/2025","8:00PM","2/20/2025","11:00 PM","Allendale, MI","Men's Basketball","Men's Basketball vs Wayne State  Allendale, MI","GVSU Fieldhouse Arena"
"Men's Basketball vs Saginaw Valley State ","2/22/2025","3:00PM","2/22/2025","6:00 PM","Allendale, MI","Men's Basketball","Men's Basketball vs Saginaw Valley State  Allendale, MI","GVSU Fieldhouse Arena"
"Men's Basketball vs Davenport ","2/25/2025","8:00PM","2/25/2025","11:00 PM","Allendale, MI","Men's Basketball","Men's Basketball vs Davenport  Allendale, MI","GVSU Fieldhouse Arena"
"Men's Basketball vs Roosevelt ","3/1/2025","3:00PM","3/1/2025","6:00 PM","Allendale, MI","Men's Basketball","Men's Basketball vs Roosevelt  Allendale, MI","GVSU Fieldhouse Arena"
