Event,Start Date,Start Time,End Date,End Time,Location,Category,Description,Facility
"Softball vs Aquinas ","9/27/2024","3:00PM","9/27/2024","6:00 PM","Allendale, MI ","Softball","Softball vs Aquinas  Allendale, MI ","GVSU Softball Field"
"Softball vs Glen Oaks CC","9/29/2024","11:00AM","9/29/2024","2:00 PM","Allendale, MI","Softball","Softball vs Glen Oaks CC Allendale, MI","GVSU Softball Field"
"Softball vs Lake County CC","9/29/2024","3:30PM","9/29/2024","6:30 PM","Allendale, MI","Softball","Softball vs Lake County CC Allendale, MI","GVSU Softball Field"
"Softball at Western Michigan University","10/6/2024","1:00PM","10/6/2024","4:00 PM","Kalamazoo, MI","Softball","Softball at Western Michigan University Kalamazoo, MI",""
"Softball vs Findlay","2/11/2025","10:15AM","2/11/2025","1:15 PM","Brighton, MI","Softball","Softball vs Findlay Brighton, MI",""
"Softball vs Findlay","2/11/2025","12:15PM","2/11/2025","3:15 PM","Brighton, MI","Softball","Softball vs Findlay Brighton, MI",""
"Softball vs Minnesota State Moorhead","2/20/2025","2:30PM","2/20/2025","5:30 PM","Rosemont, IL","Softball","Softball vs Minnesota State Moorhead Rosemont, IL",""
"Softball vs Minnesota Duluth","2/20/2025","4:30PM","2/20/2025","7:30 PM","Rosemont, IL","Softball","Softball vs Minnesota Duluth Rosemont, IL",""
"Softball vs Truman State ","2/21/2025","4:30PM","2/21/2025","7:30 PM","Rosemont, IL","Softball","Softball vs Truman State  Rosemont, IL",""
"Softball vs St. Cloud State ","2/21/2025","7:00PM","2/21/2025","10:00 PM","Rosemont, IL","Softball","Softball vs St. Cloud State  Rosemont, IL",""
"Softball vs Winona State ","2/22/2025","10:00AM","2/22/2025","1:00 PM","Rosemont, IL","Softball","Softball vs Winona State  Rosemont, IL",""
"Softball vs Lewis ","2/22/2025","12:00PM","2/22/2025","3:00 PM","Rosemont, IL","Softball","Softball vs Lewis  Rosemont, IL",""
"Softball vs Spring Games","3/1/2025","","3/6/2025","11:59 PM","Winter Haven, FL","Softball","Softball vs Spring Games Winter Haven, FL",""
"Softball at Ohio Dominican ","3/14/2025","3:00PM","3/14/2025","6:00 PM","Columbus, OH","Softball","Softball at Ohio Dominican  Columbus, OH",""
"Softball at Ohio Dominican ","3/14/2025","5:00PM","3/14/2025","8:00 PM","Columbus, OH","Softball","Softball at Ohio Dominican  Columbus, OH",""
"Softball at Tiffin ","3/15/2025","1:00PM","3/15/2025","4:00 PM","Tiffin, OH","Softball","Softball at Tiffin  Tiffin, OH",""
"Softball at Tiffin ","3/15/2025","3:00PM","3/15/2025","6:00 PM","Tiffin, OH","Softball","Softball at Tiffin  Tiffin, OH",""
"Softball at Roosevelt ","3/21/2025","3:30PM","3/21/2025","6:30 PM","Rosemont, IL","Softball","Softball at Roosevelt  Rosemont, IL",""
"Softball at Roosevelt ","3/21/2025","5:30PM","3/21/2025","8:30 PM","Rosemont, IL","Softball","Softball at Roosevelt  Rosemont, IL",""
"Softball at Parkside","3/22/2025","1:00PM","3/22/2025","4:00 PM","Kenosha, WI","Softball","Softball at Parkside Kenosha, WI",""
"Softball at Parkside","3/22/2025","3:00PM","3/22/2025","6:00 PM","Kenosha, WI","Softball","Softball at Parkside Kenosha, WI",""
"Softball vs Purdue Northwest","3/26/2025","3:00PM","3/26/2025","6:00 PM","Allendale, MI","Softball","Softball vs Purdue Northwest Allendale, MI","GVSU Softball Field"
"Softball vs Purdue Northwest","3/26/2025","5:00PM","3/26/2025","8:00 PM","Allendale, MI","Softball","Softball vs Purdue Northwest Allendale, MI","GVSU Softball Field"
"Softball at Davenport ","3/29/2025","1:00PM","3/29/2025","4:00 PM","Caledonia, MI","Softball","Softball at Davenport  Caledonia, MI",""
"Softball at Davenport","3/29/2025","3:00PM","3/29/2025","6:00 PM","Caledonia, MI","Softball","Softball at Davenport Caledonia, MI",""
"Softball at Ferris State ","3/30/2025","1:00PM","3/30/2025","4:00 PM","Big Rapids, MI","Softball","Softball at Ferris State  Big Rapids, MI",""
"Softball at Ferris State ","3/30/2025","3:00PM","3/30/2025","6:00 PM","Big Rapids, MI","Softball","Softball at Ferris State  Big Rapids, MI",""
"Softball at Northwood ","4/2/2025","3:00PM","4/2/2025","6:00 PM","Midland, MI","Softball","Softball at Northwood  Midland, MI",""
"Softball at Northwood ","4/2/2025","5:00PM","4/2/2025","8:00 PM","Midland, MI","Softball","Softball at Northwood  Midland, MI",""
"Softball at Wayne State ","4/5/2025","1:00PM","4/5/2025","4:00 PM","Detroit, MI","Softball","Softball at Wayne State  Detroit, MI",""
"Softball at Wayne State ","4/5/2025","3:00PM","4/5/2025","6:00 PM","Detroit, MI","Softball","Softball at Wayne State  Detroit, MI",""
"Softball at Saginaw Valley State ","4/6/2025","12:00PM","4/6/2025","3:00 PM","University Center, MI","Softball","Softball at Saginaw Valley State  University Center, MI",""
