Event,Start Date,Start Time,End Date,End Time,Location,Category,Description,Facility
"Women's Soccer vs Ashland","9/5/2024","3:00PM","9/5/2024","6:00 PM","Allendale, MI","Women's Soccer","Women's Soccer vs Ashland Allendale, MI","GVSU Soccer Field"
"Women's Soccer vs Cedarville ","9/7/2024","3:00PM","9/7/2024","6:00 PM","Allendale, MI","Women's Soccer","Women's Soccer vs Cedarville  Allendale, MI","GVSU Soccer Field"
"Women's Soccer at Northwest Missouri State ","9/13/2024","5:00PM","9/13/2024","8:00 PM","Maryville, MO","Women's Soccer","Women's Soccer at Northwest Missouri State  Maryville, MO",""
"Women's Soccer at Central Missouri","9/15/2024","2:00PM","9/15/2024","5:00 PM","Warrensburg, MO","Women's Soccer","Women's Soccer at Central Missouri Warrensburg, MO",""
"Women's Soccer at Northern Michigan ","9/20/2024","3:00PM","9/20/2024","6:00 PM","Marquette, MI","Women's Soccer","Women's Soccer at Northern Michigan  Marquette, MI",""
"Women's Soccer at Michigan Tech","9/22/2024","12:00PM","9/22/2024","3:00 PM","Houghton, MI","Women's Soccer","Women's Soccer at Michigan Tech Houghton, MI",""
"Women's Soccer at Saginaw Valley State ","9/27/2024","1:00PM","9/27/2024","4:00 PM","University Center, MI","Women's Soccer","Women's Soccer at Saginaw Valley State  University Center, MI",""
"Women's Soccer vs Parkside","9/29/2024","1:00PM","9/29/2024","4:00 PM","Allendale, MI","Women's Soccer","Women's Soccer vs Parkside Allendale, MI","GVSU Soccer Field"
"Women's Soccer vs Purdue Northwest","10/4/2024","3:00PM","10/4/2024","6:00 PM","Allendale, MI","Women's Soccer","Women's Soccer vs Purdue Northwest Allendale, MI","GVSU Soccer Field"
"Women's Soccer at Davenport ","10/6/2024","2:00PM","10/6/2024","5:00 PM","Grand Rapids, MI","Women's Soccer","Women's Soccer at Davenport  Grand Rapids, MI",""
"Women's Soccer at Parkside","10/11/2024","2:00PM","10/11/2024","5:00 PM","Kenosha, WI","Women's Soccer","Women's Soccer at Parkside Kenosha, WI",""
"Women's Soccer vs Roosevelt ","10/18/2024","3:00PM","10/18/2024","6:00 PM","Allendale, MI","Women's Soccer","Women's Soccer vs Roosevelt  Allendale, MI","GVSU Soccer Field"
"Women's Soccer vs Saginaw Valley State ","10/20/2024","2:00PM","10/20/2024","5:00 PM","Allendale, MI","Women's Soccer","Women's Soccer vs Saginaw Valley State  Allendale, MI","GVSU Soccer Field"
"Women's Soccer at Ferris State ","10/27/2024","1:00PM","10/27/2024","4:00 PM","Big Rapids, MI","Women's Soccer","Women's Soccer at Ferris State  Big Rapids, MI",""
"Women's Soccer at Roosevelt","11/1/2024","1:00PM","11/1/2024","4:00 PM","Schaumburg, IL","Women's Soccer","Women's Soccer at Roosevelt Schaumburg, IL",""
"Women's Soccer vs Davenport ","11/3/2024","1:00PM","11/3/2024","4:00 PM","Allendale, MI","Women's Soccer","Women's Soccer vs Davenport  Allendale, MI","GVSU Soccer Field"
"Women's Soccer vs Northern Michigan","11/7/2024","5:00PM","11/7/2024","8:00 PM","Allendale, MI","Women's Soccer","Women's Soccer vs Northern Michigan Allendale, MI","GVSU Soccer Field"
"Women's Soccer vs Michigan Tech","11/9/2024","1:00PM","11/9/2024","4:00 PM","Allendale, MI ","Women's Soccer","Women's Soccer vs Michigan Tech Allendale, MI ","GVSU Soccer Field"
"Women's Soccer vs Parkside","11/12/2024","5:00PM","11/12/2024","8:00 PM","Allendale, MI","Women's Soccer","Women's Soccer vs Parkside Allendale, MI","GVSU Soccer Field"
"Women's Soccer vs Saginaw Valley State ","11/15/2024","11:00AM","11/15/2024","2:00 PM","Marquette, MI","Women's Soccer","Women's Soccer vs Saginaw Valley State  Marquette, MI",""
"Women's Soccer vs Missouri - St. Louis","11/22/2024","11:00AM","11/22/2024","2:00 PM","St. Louis, Mo.","Women's Soccer","Women's Soccer vs Missouri - St. Louis St. Louis, Mo.",""
"Women's Soccer at Maryville","11/24/2024","2:00PM","11/24/2024","5:00 PM","St. Louis, MO","Women's Soccer","Women's Soccer at Maryville St. Louis, MO",""
"Women's Soccer vs Drury ","12/1/2024","1:00PM","12/1/2024","4:00 PM","Allendale, MI","Women's Soccer","Women's Soccer vs Drury  Allendale, MI","GVSU Soccer Field"
"Women's Soccer at Minnesota State ","12/7/2024","1:00PM","12/7/2024","4:00 PM","Mankato, MN","Women's Soccer","Women's Soccer at Minnesota State  Mankato, MN",""
"Women's Soccer vs NCAA Semifinals","12/13/2024","","12/13/2024","3:00 AM","Matthews, N.C.","Women's Soccer","Women's Soccer vs NCAA Semifinals Matthews, N.C.",""
"Women's Soccer vs NCAA Championship ","12/15/2024","","12/15/2024","3:00 AM","Matthews, N.C.","Women's Soccer","Women's Soccer vs NCAA Championship  Matthews, N.C.",""
